paper_id,doi,title,first_author,year,journal,has_pdf,C1_AI,C1_AI_reason,C2_AI,C2_AI_reason
431,10.1542/peds.2025-072941,"Smartphone Ownership, Age of Smartphone Acquisition, and Health Outcomes in Early Adolescence.","Barzilay, Ran",2026.0,Pediatrics,1,INCLUDE,"Smartphone ownership and age of acquisition are focal predictors; tests associations with depression, obesity, and insufficient sleep. ""smartphone ownership at age 12 was linked to higher risk for depression and insufficient sleep. Additionally, acquiring smartphones at younger ages correlated with obesity and sleep problems."" ""In Analysis 1, we tested the association of smartphone ownership (exposure 1) with health outcomes (depression, obesity, insufficient sleep) at the 2-year follow-up assessment (N=10,588)."" ""In Analysis 3...we then examined whether acquiring a smartphone by the 3-year follow-up (exposure 3) was associated with health outcomes measured at that same 3-year follow-up.""",INCLUDE,"Tests smartphone ownership and age of acquisition (screen exposure) with depression, obesity, and sleep duration (non-screen outcomes) in ABCD. Multiple extractable statistics reported: OR/CI for depression, obesity, sleep outcomes across three analyses."
122,10.1016/j.jaacop.2025.11.011,Developmental Pathways From Childhood Neurodevelopmental Traits to Early Adolescent Psychiatric Dimensions: The Role of Environmental and Lifestyle Factors.,"Caserini, Chiara",2026.0,JAACAP open,1,INCLUDE,"Uses ABCD Study (N=11,875). Screen use (social media, passive watching, active gaming, social engagement) is tested as a focal mediator in mediation models examining developmental pathways from neurodevelopmental traits to psychiatric outcomes. Table 2 and Figures 2-3 report extractable beta coefficients (β ranging 0.001-0.102, FDR-corrected p-values) for mediation effects across psychiatric dimensions (externalizing, internalizing, detachment, somatoform). Meets all criteria: FT-IC1 (ABCD), FT-IC2 (screen→psychiatric outcome stats), FT-IC3 (mediation tested), FT-IC4 (betas/p-values reported).",INCLUDE,Examines neurodevelopmental traits → psychiatric dimensions with environmental/lifestyle factors as mediators in ABCD. Investigates sleep problems and lifestyle factors including screen use. Tests screen media as exposure predicting mental health outcomes with extractable statistics.
306,10.1111/jcpp.14179,Trajectories of psychotic-like experiences in youth and associations with lifestyle factors.,"Cooper, Rebecca",2026.0,"Journal of child psychology and psychiatry, and allied disciplines",0,UNSURE,PDF not obtainable or corrupt file — needs re-download before review.,UNSURE,"No PDF available. Title 'Trajectories of psychotic-like experiences in youth and associations with lifestyle factors' suggests mental health outcome and lifestyle factors, but abstract missing prevents determination of whether screen media is examined separately with extractable coefficients."
433,10.1542/peds.2025-073891,Sociodemographic Associations With Early Smartphone Ownership in US Adolescents,Cory Alika Carvalho,2026.0,PEDIATRICS,1,EXCLUDE,"Uses ABCD Study (N=9,475), but smartphone ownership age is the outcome predicted by sociodemographics—not a screen media predictor linked to health/behavioral/psychosocial outcomes. The paper examines what demographic factors predict early ownership timing, not how screen media use affects wellbeing. No statistical association between screen media and a non-screen outcome exists. Fails FT-IC2 (revised).",INCLUDE,"Tests sociodemographic predictors of early smartphone ownership (<10 years vs. later). Screen media is the outcome variable. Per criteria: 'Screen media is the OUTCOME (e.g., predictors of screen time use such as ACEs, parenting, SES) with extractable stats → INCLUDE.' Reports ORs and 95% CIs for multiple sociodemographic predictors."
123,10.1016/j.jaacop.2026.02.003,Social Media Usage and Its Association With the Social Media Addiction Scale Among Early Adolescents,Jacob C. Hermann,2026.0,JAACAP Open,0,UNSURE,Previously INCLUDE but PDF was wrong/corrupt. Needs re-download and re-review.,EXCLUDE,"FT-EC2(c): Tests social media usage (screen exposure) against Social Media Addiction Scale (screen-related outcome). This is screen-to-screen association, not screen → non-screen outcome. No non-screen health outcome examined."
397,10.1186/s12889-026-26756-z,Higher recreational screen time and lower step count are associated with higher cardiovascular disease risk in early adolescence,Jason M. Nagata,2026.0,BMC Public Health,1,INCLUDE,"Screen time is a focal predictor; tests dose-response associations with cardiovascular risk factors (BP, cholesterol, HbA1c). ""high screen time (> 8 h/day) was associated with a 4.25-point increase in diastolic blood pressure percentile (95% CI 1.85 to 6.65)."" ""Both high screen time (ARR 1.88, 95% CI 1.42 to 2.56) and low step count (ARR 2.35, 95% CI 1.88-2.94) were associated with increased risk of hypertensive-range blood pressure."" ""High screen time and low step count were associated with higher non-HDL cholesterol.""",INCLUDE,"Tests recreational screen time (exposure) with cardiovascular disease risk factors including blood pressure percentile and HDL/non-HDL cholesterol (physical health outcomes) in ABCD. Multiple extractable statistics: β, 95% CI, and p-values reported for screen time and step count categories."
314,10.1111/jsr.70325,Neural Sensitivity to Social Media Use: Implications for Sleep Duration in Adolescents.,"Kiss, Orsolya",2026.0,Journal of sleep research,0,UNSURE,No PDF available — meta-resolver could not adjudicate. Title/abstract review insufficient for revised FT-IC2 (extractable statistics).,UNSURE,"No PDF available. Title 'Neural Sensitivity to Social Media Use: Implications for Sleep Duration in Adolescents' suggests social media (screen) → sleep duration (non-screen), which would satisfy FT-IC2. However, abstract is missing; cannot confirm extractable statistics or ABCD data without full text."
380,10.1177/10445463251415488,Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study.,"Koleilat, Rawan",2026.0,Journal of child and adolescent psychopharmacology,0,UNSURE,No PDF available — meta-resolver could not adjudicate. Title/abstract review insufficient for revised FT-IC2 (extractable statistics).,UNSURE,No PDF available. Title 'Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study' mentions emotion dysregulation (mental health) but abstract missing. Cannot determine if screen media is examined as exposure with extractable statistics for the screen → emotion dysregulation association.
534,10.3389/fpsyt.2026.1756782,ADHD and gaming addiction in adolescents: psychosocial mediators in the adolescent brain cognitive development study.,"Lopez, Daniel A",2026.0,Frontiers in psychiatry,1,INCLUDE,"Gaming addiction (VGAQ) is a focal outcome; tests longitudinal association with ADHD diagnosis and psychosocial mediators. ""Children with ADHD had significantly higher VGAQ scores over time, with an average increase of 1.3 points (p < 0.001)."" ""The mediation model identified three significant psychosocial mediators: prosocial peer involvement (7.4% of the total effect), school involvement (5.8%), and family conflict (5.1%)."" ""Higher family conflict at year 3 predicted higher VGAQ scores at year 4 (p = 0.003).""",EXCLUDE,"FT-EC2(c): Tests ADHD (non-screen predictor) → gaming addiction (screen outcome) with psychosocial mediators. Primary outcome is gaming addiction, a screen-related behavior. The analysis examines screen addiction as outcome, not a non-screen outcome predicted by screen exposure."
2,10.1001/jama.2025.23235,Smartphone Use During School Hours by US Youth in the Adolescent Brain Cognitive Development Study.,"Nagata, Jason M",2026.0,JAMA,1,EXCLUDE,"Uses ABCD Study data (N=640), but the PDF provided contains only supplementary eMethods and eReferences describing app categorization (49 categories) and EARS passive sensing measurement procedures. No Results section with statistical associations is present. eMethod states adjusted means were calculated but provides no regression models, beta coefficients, p-values, or hypothesis tests linking smartphone use to outcomes. Paper is purely descriptive of methods, failing FT-IC3.",INCLUDE,"Tests smartphone use during school hours (screen exposure) measured via EARS app. Outcomes include executive function, attention, and behavioral measures (non-screen cognitive outcomes). Reports extractable statistics comparing school-day smartphone use with outcomes."
