row_id,doi,pmid,pmid_lookup_status,abstract_text,abstract_retrieval_status,abstract_word_count,coder,date_coded,notes
1,10.1089/chi.2025.0022,40474740,found,"Background: We examined the independent and joint prospective associations of screen time, sleep disturbance, and sleep duration with body mass index (BMI) and waist circumference (WC) stratified by sex. Methods: Data are from 7445 participants (47.3% females) aged 9-10 years at baseline (2016-2018) in the Adolescent Brain Cognitive Development Study. Missing data were imputed, and weighted multivariable linear regression models estimated the independent and joint effects of screen time and sleep disturbance or sleep duration on BMI and WC after 2 years. Joint associations grouped participants by combinations of screen time and sleep, with low screen time and sufficient sleep or no sleep disturbance as the reference groups. Results: Screen time was significantly associated with higher BMI (B = 0.32; 95% CI: 0.19, 0.45; p < 0.001) and WC (B = 0.40; 95% CI: 0.23, 0.56; p < 0.001). Sleep disturbance was associated with higher BMI (B = 1.23; 95% CI: 0.14, 2.33; p 0.026) in males. Insufficient sleep (<9 hours) (B = 1.30; 95% CI: 0.53, 2.07; p < 0.001) was associated with higher BMI. Medium screen time without sleep disturbance or insufficient sleep, and medium and high screen time with either sleep problem were associated with higher BMI and WC. Low screen time with insufficient sleep and high screen time with sufficient sleep were associated with higher BMI. Associations were generally stronger among males, particularly with high screen time. Conclusion: Screen time and insufficient sleep were independently and jointly associated with higher BMI and WC 2 years later, especially when both were present.",retrieved,255,AI,2026-03-24,
2,,,no_doi,,no_pmid,0,AI,2026-03-24,
3,10.1038/s41398-025-03411-6,40456721,found,"A delay in brain maturation is a hypothesized pathomechanism of attention-deficit/hyperactivity disorder (ADHD). Differences in emotion regulation are associated with phenotypic and prognostic heterogeneity in ADHD. The development of emotion regulation is driven, in part, by brain maturation. Whether the difference between an individual's brain age predicted by machine-learning algorithms trained on neuroimaging data and that individual's chronological age, i.e. brain-predicted age difference (brain-PAD) predicts differences in emotion regulation, and whether ADHD problems add to this prediction is unknown. Using data from the Adolescent Brain Cognitive Development Study, we examined, in 2711 children (Mage = 120.09 months, SD = 7.61; 54.15% female; 61.23% white), whether adjusting for action cancellation (inhibition), age, sex assigned at birth, psychotropic treatment, and pubertal status, brain-PAD in late childhood predicts self-reported emotion regulation in early adolescence (at 3-year follow-up), and whether parent-reported ADHD problems predict self-reported emotion regulation above and beyond brain-PAD. Greater brain-PAD predicted greater expressive suppression (b = 0.172, SE = 0.051, pFDR = 0.004), whereas ADHD problems did not (b = 0.041, SE = 0.022, pFDR = 0.124), model marginal R2 = 0.020. This pattern of results was replicated across sensitivity tests. Neither brain-PAD, nor ADHD problems predicted cognitive reappraisal, pFDRs = 0.734. Clinically, consistent with earlier findings linking greater brain-PAD to psychopathology, we observed that greater brain-PAD in childhood-but not ADHD problems-predicted expressive suppression in early adolescence. Expressive suppression is implicated in the etiology, maintenance, and treatment of numerous psychopathologies, highlighting the relevance of brain-PAD in understanding developmental risk mechanisms. Conceptually, these findings further validate brain-PAD as a valuable tool for advancing developmental neuroscience.",retrieved,263,AI,2026-03-24,
4,10.1016/j.ynirp.2025.100263,40511327,found,"Patients with ADHD evidence elevated reaction time variability (RTV) due to periodic long reaction times (RTs). Even though reaction time variability (RTV) reflects intraindividual differences in RT across time, prior research exploring the neural basis of RTV in ADHD has primarily examined associations between neural activation and summary RTV outcomes (e.g., standard deviation of reaction time, tau). Here, we explore group differences in the neural basis of RTV by examining association between trial-level RTs and fMRI BOLD activation obtained during a Stop Signal Task in a large (n = 5719) sample of 9- to 10-year-old children participating in the Adolescent Brain Cognitive Development (ABCD) study. Children with ADHD demonstrated greater RTV than those without ADHD. ADHD-related group differences were not observed between fMRI BOLD activation and summary RTV outcomes. At the trial level, longer RTs were associated with increased BOLD activation in salience/ventral attention and executive control networks and decreased BOLD activation in the default mode network, consistent with time-on-task effects (i.e., stimulus processing time) in which long RTs require maintaining task-positive activation and DMN suppression for more time than short RTs. Moreover, children with ADHD showed weaker associations between long RTs and BOLD activation in these regions than children without ADHD supporting models that point to dysregulated competition between the DMN and executive network as mechanism of cognitive impairment in ADHD.",retrieved,222,AI,2026-03-24,
5,10.1111/jora.70030,40356347,found,"Psychopathology is associated with features of the family, neighborhood, and school environments. During adolescence, increased autonomy and novel social relationships may influence the strength of these associations over time. Characterizing these processes is key to understanding how and when different factors may contribute to psychopathology. Participants in the Adolescent Brain Cognitive Development (ABCD) Study (n = 11,823) were 9-10 years old at baseline and 12-13 years old at the three-year follow-up. At each time point, internalizing symptoms (INT) and externalizing symptoms (EXT), family features (e.g., conflict, parental monitoring, acceptance, and financial hardship), neighborhood safety, and school supportiveness were assessed. Fixed effect regression models were estimated separately for male and female youth to examine the age-varying, within-individual associations between symptoms and family, neighborhood, and school factors. INT and EXT significantly decreased among male adolescents over time, while female adolescents exhibited increases in INT and decreases in EXT. Family conflict, financial hardship, neighborhood safety, and school support predicted INT and EXT, with some variation by sex (e.g., neighborhood safety only predicted INT and EXT for male adolescents). Many of these associations were consistent over time. However, for male adolescents, the association between financial hardship and EXT weakened over time, while the family conflict and EXT association strengthened. Understanding how timing and specific environmental factors interact to shape adolescent mental health is critical to identifying periods of heightened sensitivity to risk or protective influences.",retrieved,231,AI,2026-03-24,
6,10.1111/eip.70058,40444692,found,"INTRODUCTION: Bipolar disorder (BD) is a severe, persistent disorder that causes functional impairment. Besides heritability, environmental factors, such as traumatic experience, impact the development of BD. Little is known about the early developmental signs of this disorder; therefore, this study aims to look at the impact of interpersonal trauma on the early developmental signs of BD. Specifically, differences in psychopathological behaviours were investigated between (1) at-risk children and controls and (2) at-risk children who experienced an interpersonal traumatic event and those who did not. METHODS: Using the Adolescent Brain Cognitive Development (ABCD) dataset, participants with a first-degree relative with BD were identified (Nat-risk = 625) and matched on sex and age to a control group (Ncontrol = 625). The Kiddie Schedule for Affective Disorders and Schizophrenia (KSADS) was used to assess interpersonal trauma and psychopathological symptoms. The trauma (Ntrauma = 198) and no-trauma sub-groups (Nno-trauma = 428) were built from the at-risk population. Group comparison was conducted on depressive, manic and anxiety symptoms. RESULTS: Compared to controls, at-risk children exhibited a significantly greater number of manic symptoms at baseline and 2-year follow-up, and anxiety symptoms at follow-up. No significant differences were found between the trauma and no-trauma groups at either baseline or follow-up. DISCUSSION: These results confirm the presence of early symptoms in at-risk children, in line with the staging model of BD. Extended longitudinal research is needed to further investigate the potential specific role of trauma on its early behavioural patterns.",retrieved,242,AI,2026-03-24,
7,10.1007/s41252-025-00448-y,40893405,found,"OBJECTIVES: Neurodevelopmental disorders have significant public health impacts, and novel approaches to understanding these disorders are greatly needed. Social connectedness, including relationships with parents and peers as well as family and school environments, may serve as a protective factor for neurodivergent youth. Neural networks that support social processing could also influence outcomes for these individuals. METHODS: The current study used data from the large Adolescent Brain Cognitive DevelopmentSM (ABCD) Study (N = 11,878) to explore associations between social connectedness, brain functional connectivity, and subjective and objective measures of neurodevelopmental functioning in youth. Linear mixed effects models assessed links between social connectedness and neurodevelopmental functioning. Mediation models evaluated whether connectivity of the salience network mediated these associations. RESULTS: Authoritative parenting practices and involvement in extracurricular activities were linked to better neurodevelopmental functioning (ps ≤ 0.002), while family conflict was associated with worse functioning (ps ≤ 0.003). Salience network connectivity showed no significant associations with either social connectedness or neurodevelopmental functioning (ps > 0.01). CONCLUSIONS: Although the sizes of the observed effects were small, our findings imply that fostering positive family relationships and encouraging extracurricular involvement may relate to improved outcomes for neurodivergent youth. Future work is needed to identify additional factors that influence neurodevelopmental functioning over time and to determine the neural mechanisms underlying these relationships.",retrieved,215,AI,2026-03-24,
8,10.1038/s41598-025-04081-6,40442425,found,"Variability in associations between socioeconomic status and cortical gray matter may be due in part to the common, functional brain-derived neurotrophic factor (BDNF) Val66Met polymorphism, which alters BDNF signaling. In this study, we examined whether BDNF Val66Met genotype moderated the associations between socioeconomic factors (family income, parental education) and cortical surface area (SA) and thickness (CT) in two large independent samples of typically-developing children and adolescents. Participants were 3- to 21-year-olds (N = 383; 47% female) from the Pediatric Imaging, Neurocognition, and Genetics (PING) study and 11- to 14-year-olds (N = 2566; 46% female) in the Adolescent Brain Cognitive Development (ABCD) study. High-resolution, T1-weighted magnetic resonance imaging data were acquired in both studies. Analyses were conducted on global and regional SA and CT. In the PING sample, BDNF Val66Met genotype significantly moderated the association between family income and total SA and SA in the left fusiform gyrus. In the ABCD sample, there were no significant interactions for global or regional SA or CT. Collectively, these results suggest that BDNF Val66Met genotype may not explain variability in associations between socioeconomic factors and SA or CT in children and adolescents.",retrieved,188,AI,2026-03-24,
9,10.1093/ntr/ntaf116,40440273,found,"INTRODUCTION: Differences in sensitivity to substances are important for understanding variability in addiction propensity. The value of modeling subjective response to nicotine, particularly e-cigarettes, at first use as a predictor of future use remains largely untested. METHODS: This secondary analysis of the Adolescent Brain Cognitive Development (ABCD) Study data included 147 youth (51% female; mean age = 13 at first assessment) who reported vaping of an e-cigarette and provided their subjective response to that experience during the 4 years of baseline and annual follow-up data currently available. Analyses evaluated the longitudinal relationships between subjective response to vaping and subsequent annual e-cigarette episodes (ie, quantity) and use days (ie, frequency) using semi-parametric Bayesian mixture models. Effects were estimated at quantiles (25th, 50th, and 75th) of the e-cigarette use outcomes, representing lower, average (ie, median), and higher use. RESULTS: Greater pleasurable sensations to vaping at first use predicted greater past-year e-cigarette use for all participants, with youth endorsing higher use exhibiting stronger relationships (bLower use = 0.07-0.10; bMedian use = 0.37-0.75; bHigher use = 22.3-61.4). Greater initial unpleasant sensations to vaping also predicted greater subsequent use (bLower use = 0.16-0.19; bMedian use = 0.54-0.74). Among youth endorsing higher use, unpleasant subjective response was associated with future use quantity (b = 22.00), but not frequency. CONCLUSIONS: These findings suggest that initial subjective response to nicotine vaping in youth is a strong predictor of e-cigarette use behavior up to 4 years later, particularly in those endorsing higher use. This knowledge can be used to enhance early prevention efforts to reduce e-cigarette use in this vulnerable population. IMPLICATIONS: This study advances the initial subjective response to nicotine vaping in youth as a strong predictor of future e-cigarette use behavior, particularly in youth endorsing higher use. This knowledge can be used to help identify risk and protective factors for nicotine use, as well as enhance early prevention efforts to reduce e-cigarette use in this vulnerable population.",retrieved,320,AI,2026-03-24,
10,10.1016/j.envint.2025.109561,40483797,found,"The adolescent brain is vulnerable to ambient air pollution. Importantly, community-level factors - such as neighborhood disadvantage - that co-occur with air pollution may further enhance this vulnerability and impact brain development. The current study investigated if neighborhood disadvantage moderates the association between residential fine particulate matter (PM2.5) pollution and adolescent brain development, including longitudinal changes in cortical thickness, surface area, and subcortical/white matter volume from ages 9-13 years (n = 8321 participants from the ABCD Study®; 12,634 observations). We found that, in more disadvantaged neighborhoods, higher PM2.5 levels were associated with greater age-related cortical thinning in temporal areas and in most regions of the occipital lobe. Furthermore, independent of neighborhood disadvantage, higher PM2.5 exposure was associated with larger age-related surface area decreases in parietal, occipital, and temporal regions, but smaller age-related increases in right cerebral white matter volume and frontal and temporal region surface area. Similarly, higher PM2.5 exposure was independently associated with greater age-related cortical thinning in the frontal regions, cingulate, and insula, but smaller age-related cortical thickening in temporal regions. Findings have policy implications for air quality improvements alongside investment in disadvantaged neighborhoods to bolster adolescent brain development.",retrieved,191,AI,2026-03-24,
